accuracy,type,accuracy,type
0.981481481,train,0.333333333,test
0.981481481,train,0.666666667,test
1,train,0.388888889,test
1,train,0.555555556,test
0.981481481,train,0.5,test
0.962962963,train,0.666666667,test
0.981481481,train,0.555555556,test
1,train,0.444444444,test
0.962962963,train,0.222222222,test
0.981481481,train,0.5,test
0.962962963,train,0.555555556,test
0.962962963,train,0.388888889,test
0.962962963,train,0.611111111,test
0.962962963,train,0.777777778,test
1,train,0.666666667,test
1,train,0.5,test
1,train,0.722222222,test
0.962962963,train,0.555555556,test
1,train,0.611111111,test
1,train,0.611111111,test
1,train,0.444444444,test
0.981481481,train,0.722222222,test
1,train,0.666666667,test
0.981481481,train,0.666666667,test
0.981481481,train,0.777777778,test
0.962962963,train,0.611111111,test
0.981481481,train,0.444444444,test
0.981481481,train,0.611111111,test
1,train,0.777777778,test
1,train,0.722222222,test
0.981481481,train,0.611111111,test
0.981481481,train,0.777777778,test
1,train,0.611111111,test
1,train,0.611111111,test
1,train,0.555555556,test
1,train,0.5,test
1,train,0.722222222,test
0.962962963,train,0.5,test
1,train,0.444444444,test
0.981481481,train,0.666666667,test
0.962962963,train,0.722222222,test
1,train,0.611111111,test
0.944444444,train,0.333333333,test
0.981481481,train,0.555555556,test
1,train,0.833333333,test
0.962962963,train,0.444444444,test
0.981481481,train,0.5,test
0.944444444,train,0.666666667,test
1,train,0.555555556,test
0.907407407,train,0.555555556,test
1,train,0.5,test
0.981481481,train,0.388888889,test
0.981481481,train,0.5,test
0.962962963,train,0.722222222,test
1,train,0.666666667,test
0.981481481,train,0.388888889,test
0.981481481,train,0.611111111,test
0.981481481,train,0.611111111,test
0.962962963,train,0.611111111,test
1,train,0.722222222,test
1,train,0.5,test
0.962962963,train,0.5,test
0.944444444,train,0.722222222,test
0.981481481,train,0.5,test
1,train,0.833333333,test
0.962962963,train,0.777777778,test
0.981481481,train,0.666666667,test
1,train,0.611111111,test
0.962962963,train,0.5,test
0.907407407,train,0.444444444,test
0.944444444,train,0.388888889,test
0.944444444,train,0.5,test
0.925925926,train,0.555555556,test
0.981481481,train,0.722222222,test
1,train,0.666666667,test
0.981481481,train,0.611111111,test
0.981481481,train,0.555555556,test
0.944444444,train,0.5,test
1,train,0.833333333,test
1,train,0.611111111,test
1,train,0.555555556,test
0.962962963,train,0.666666667,test
0.981481481,train,0.444444444,test
0.981481481,train,0.444444444,test
0.981481481,train,0.555555556,test
0.944444444,train,0.722222222,test
0.944444444,train,0.833333333,test
0.962962963,train,0.666666667,test
0.962962963,train,0.555555556,test
0.981481481,train,0.722222222,test
1,train,0.611111111,test
0.962962963,train,0.611111111,test
1,train,0.833333333,test
0.962962963,train,0.5,test
0.962962963,train,0.666666667,test
0.981481481,train,0.666666667,test
1,train,0.777777778,test
0.944444444,train,0.555555556,test
0.981481481,train,0.666666667,test
1,train,0.555555556,test
1,train,0.666666667,test
1,train,0.611111111,test
1,train,0.555555556,test
0.981481481,train,0.555555556,test
0.962962963,train,0.611111111,test
0.962962963,train,0.5,test
0.981481481,train,0.666666667,test
0.981481481,train,0.722222222,test
0.944444444,train,0.777777778,test
0.907407407,train,0.388888889,test
0.962962963,train,0.555555556,test
0.981481481,train,0.722222222,test
0.981481481,train,0.333333333,test
0.944444444,train,0.833333333,test
0.907407407,train,0.5,test
0.981481481,train,0.444444444,test
0.981481481,train,0.5,test
0.981481481,train,0.666666667,test
0.925925926,train,0.388888889,test
0.981481481,train,0.722222222,test
0.962962963,train,0.611111111,test
0.962962963,train,0.555555556,test
0.962962963,train,0.611111111,test
0.981481481,train,0.5,test
0.962962963,train,0.666666667,test
0.944444444,train,0.666666667,test
1,train,0.555555556,test
0.962962963,train,0.611111111,test
0.981481481,train,0.611111111,test
0.962962963,train,0.333333333,test
0.962962963,train,0.388888889,test
0.962962963,train,0.444444444,test
0.981481481,train,0.611111111,test
0.981481481,train,0.611111111,test
1,train,0.777777778,test
0.981481481,train,0.5,test
0.981481481,train,0.722222222,test
0.981481481,train,0.611111111,test
1,train,0.833333333,test
1,train,0.611111111,test
0.981481481,train,0.833333333,test
0.981481481,train,0.444444444,test
0.981481481,train,0.388888889,test
0.962962963,train,0.666666667,test
0.962962963,train,0.666666667,test
0.944444444,train,0.666666667,test
0.981481481,train,0.666666667,test
0.981481481,train,0.555555556,test
0.981481481,train,0.833333333,test
1,train,0.722222222,test
0.981481481,train,0.722222222,test
1,train,0.611111111,test
1,train,0.5,test
0.962962963,train,0.611111111,test
0.962962963,train,0.555555556,test
0.962962963,train,0.611111111,test
1,train,0.444444444,test
1,train,0.611111111,test
0.962962963,train,0.611111111,test
1,train,0.666666667,test
1,train,0.611111111,test
0.981481481,train,0.5,test
0.981481481,train,0.722222222,test
0.981481481,train,0.777777778,test
0.962962963,train,0.611111111,test
0.981481481,train,0.611111111,test
0.981481481,train,0.555555556,test
0.981481481,train,0.611111111,test
0.981481481,train,0.777777778,test
1,train,0.666666667,test
0.962962963,train,0.666666667,test
0.962962963,train,0.555555556,test
0.981481481,train,0.611111111,test
0.981481481,train,0.555555556,test
1,train,0.388888889,test
0.981481481,train,0.611111111,test
0.981481481,train,0.833333333,test
1,train,0.722222222,test
1,train,0.611111111,test
0.962962963,train,0.444444444,test
1,train,0.5,test
0.981481481,train,0.666666667,test
0.944444444,train,0.444444444,test
0.962962963,train,0.444444444,test
0.981481481,train,0.722222222,test
0.981481481,train,0.722222222,test
0.981481481,train,0.444444444,test
1,train,0.5,test
1,train,0.777777778,test
0.981481481,train,0.388888889,test
0.962962963,train,0.444444444,test
1,train,0.5,test
0.962962963,train,0.5,test
1,train,0.722222222,test
1,train,0.833333333,test
1,train,0.555555556,test
0.981481481,train,0.666666667,test
0.962962963,train,0.611111111,test
0.981481481,train,0.611111111,test
0.981481481,train,0.611111111,test
0.944444444,train,0.611111111,test
0.981481481,train,0.611111111,test
0.981481481,train,0.555555556,test
0.981481481,train,0.666666667,test
0.962962963,train,0.666666667,test
0.981481481,train,0.555555556,test
0.981481481,train,0.666666667,test
0.981481481,train,0.611111111,test
0.981481481,train,0.722222222,test
0.981481481,train,0.611111111,test
0.944444444,train,0.666666667,test
1,train,0.722222222,test
0.981481481,train,0.611111111,test
0.981481481,train,0.333333333,test
0.981481481,train,0.722222222,test
1,train,0.833333333,test
1,train,0.666666667,test
1,train,0.666666667,test
0.962962963,train,0.388888889,test
0.981481481,train,0.777777778,test
1,train,0.611111111,test
1,train,0.611111111,test
0.962962963,train,0.777777778,test
1,train,0.555555556,test
0.962962963,train,0.555555556,test
0.962962963,train,0.555555556,test
0.925925926,train,0.555555556,test
0.981481481,train,0.666666667,test
0.981481481,train,0.333333333,test
0.981481481,train,0.555555556,test
0.981481481,train,0.666666667,test
0.981481481,train,0.444444444,test
0.981481481,train,0.666666667,test
1,train,0.722222222,test
1,train,0.555555556,test
0.981481481,train,0.666666667,test
1,train,0.833333333,test
1,train,0.666666667,test
0.981481481,train,0.555555556,test
1,train,0.5,test
0.981481481,train,0.5,test
0.962962963,train,0.555555556,test
0.962962963,train,0.444444444,test
0.925925926,train,0.277777778,test
0.981481481,train,0.833333333,test
0.944444444,train,0.555555556,test
0.981481481,train,0.555555556,test
0.962962963,train,0.611111111,test
0.962962963,train,0.555555556,test
1,train,0.611111111,test
0.944444444,train,0.444444444,test
0.962962963,train,0.555555556,test
0.981481481,train,0.722222222,test
1,train,0.611111111,test
1,train,0.666666667,test
0.981481481,train,0.555555556,test
1,train,0.333333333,test
0.944444444,train,0.833333333,test
1,train,0.722222222,test
1,train,0.722222222,test
0.981481481,train,0.611111111,test
0.944444444,train,0.833333333,test
0.962962963,train,0.666666667,test
0.981481481,train,0.388888889,test
1,train,0.777777778,test
0.944444444,train,0.555555556,test
1,train,0.833333333,test
0.944444444,train,0.5,test
0.944444444,train,0.444444444,test
0.981481481,train,0.666666667,test
0.981481481,train,0.833333333,test
1,train,0.5,test
0.981481481,train,0.388888889,test
0.981481481,train,0.555555556,test
1,train,0.777777778,test
0.981481481,train,0.777777778,test
1,train,0.611111111,test
0.944444444,train,0.444444444,test
0.962962963,train,0.666666667,test
0.981481481,train,0.666666667,test
0.962962963,train,0.555555556,test
1,train,0.5,test
0.925925926,train,0.555555556,test
1,train,0.722222222,test
1,train,0.5,test
1,train,0.333333333,test
1,train,0.722222222,test
0.981481481,train,0.555555556,test
0.907407407,train,0.611111111,test
0.962962963,train,0.611111111,test
0.981481481,train,0.5,test
0.925925926,train,0.611111111,test
1,train,0.722222222,test
0.981481481,train,0.611111111,test
0.888888889,train,0.555555556,test
1,train,0.5,test
0.925925926,train,0.444444444,test
0.962962963,train,0.388888889,test
0.981481481,train,0.388888889,test
1,train,0.555555556,test
0.981481481,train,0.555555556,test
0.981481481,train,0.611111111,test
0.981481481,train,0.555555556,test
0.944444444,train,0.611111111,test
1,train,0.666666667,test
0.962962963,train,0.611111111,test
0.981481481,train,0.444444444,test
0.962962963,train,0.5,test
0.962962963,train,0.5,test
1,train,0.666666667,test
1,train,0.611111111,test
0.981481481,train,0.666666667,test
0.962962963,train,0.777777778,test
0.981481481,train,0.722222222,test
0.981481481,train,0.666666667,test
1,train,0.555555556,test
0.981481481,train,0.666666667,test
1,train,0.666666667,test
0.962962963,train,0.722222222,test
1,train,0.666666667,test
0.962962963,train,0.722222222,test
0.981481481,train,0.666666667,test
0.962962963,train,0.5,test
0.962962963,train,0.555555556,test
1,train,0.666666667,test
0.981481481,train,0.444444444,test
0.981481481,train,0.444444444,test
0.981481481,train,0.611111111,test
0.962962963,train,0.388888889,test
0.981481481,train,0.444444444,test
0.925925926,train,0.444444444,test
0.962962963,train,0.555555556,test
0.962962963,train,0.555555556,test
0.962962963,train,0.5,test
0.981481481,train,0.833333333,test
0.981481481,train,0.611111111,test
0.981481481,train,0.555555556,test
1,train,0.666666667,test
0.962962963,train,0.333333333,test
1,train,0.666666667,test
0.981481481,train,0.333333333,test
0.981481481,train,0.722222222,test
1,train,0.555555556,test
0.981481481,train,0.444444444,test
0.962962963,train,0.611111111,test
0.907407407,train,0.5,test
0.962962963,train,0.611111111,test
1,train,0.722222222,test
0.981481481,train,0.444444444,test
0.981481481,train,0.5,test
1,train,0.555555556,test
0.981481481,train,0.5,test
0.962962963,train,0.333333333,test
0.981481481,train,0.5,test
0.981481481,train,0.555555556,test
0.962962963,train,0.5,test
0.981481481,train,0.666666667,test
1,train,0.555555556,test
1,train,0.5,test
0.925925926,train,0.722222222,test
0.981481481,train,0.666666667,test
0.981481481,train,0.611111111,test
1,train,0.833333333,test
0.944444444,train,0.277777778,test
0.981481481,train,0.722222222,test
0.944444444,train,0.611111111,test
1,train,0.5,test
1,train,0.444444444,test
0.981481481,train,0.5,test
1,train,0.444444444,test
1,train,0.5,test
0.962962963,train,0.555555556,test
1,train,0.611111111,test
1,train,0.611111111,test
1,train,0.777777778,test
1,train,0.555555556,test
0.981481481,train,0.666666667,test
0.981481481,train,0.611111111,test
1,train,0.555555556,test
0.962962963,train,0.611111111,test
0.907407407,train,0.611111111,test
1,train,0.777777778,test
1,train,0.666666667,test
1,train,0.611111111,test
0.981481481,train,0.666666667,test
0.981481481,train,0.666666667,test
0.981481481,train,0.833333333,test
1,train,0.5,test
0.962962963,train,0.722222222,test
1,train,0.555555556,test
0.962962963,train,0.611111111,test
0.981481481,train,0.555555556,test
0.944444444,train,0.444444444,test
0.962962963,train,0.666666667,test
1,train,0.555555556,test
1,train,0.555555556,test
0.925925926,train,0.722222222,test
0.944444444,train,0.888888889,test
0.962962963,train,0.777777778,test
1,train,0.666666667,test
1,train,0.888888889,test
1,train,0.611111111,test
1,train,0.388888889,test
0.981481481,train,0.5,test
0.962962963,train,0.444444444,test
0.981481481,train,0.555555556,test
0.981481481,train,0.611111111,test
0.944444444,train,0.722222222,test
0.944444444,train,0.5,test
0.981481481,train,0.666666667,test
0.962962963,train,0.666666667,test
0.981481481,train,0.555555556,test
0.944444444,train,0.5,test
0.981481481,train,0.611111111,test
1,train,0.5,test
0.981481481,train,0.5,test
0.981481481,train,0.611111111,test
0.962962963,train,0.333333333,test
0.981481481,train,0.444444444,test
1,train,0.555555556,test
0.962962963,train,0.555555556,test
0.962962963,train,0.555555556,test
0.962962963,train,0.5,test
1,train,0.722222222,test
1,train,0.666666667,test
1,train,0.722222222,test
1,train,0.722222222,test
1,train,0.5,test
0.981481481,train,0.555555556,test
0.944444444,train,0.5,test
0.981481481,train,0.722222222,test
0.925925926,train,0.611111111,test
0.981481481,train,0.555555556,test
1,train,0.555555556,test
1,train,0.555555556,test
1,train,0.611111111,test
0.962962963,train,0.5,test
0.981481481,train,0.611111111,test
0.981481481,train,0.611111111,test
0.962962963,train,0.555555556,test
1,train,0.833333333,test
1,train,0.611111111,test
0.981481481,train,0.611111111,test
0.981481481,train,0.722222222,test
0.962962963,train,0.5,test
1,train,0.722222222,test
0.981481481,train,0.722222222,test
0.962962963,train,0.666666667,test
1,train,0.777777778,test
0.981481481,train,0.555555556,test
0.962962963,train,0.555555556,test
1,train,0.833333333,test
0.925925926,train,0.611111111,test
1,train,0.444444444,test
0.925925926,train,0.611111111,test
1,train,0.555555556,test
1,train,0.777777778,test
1,train,0.611111111,test
0.944444444,train,0.555555556,test
1,train,0.5,test
1,train,0.666666667,test
0.962962963,train,0.833333333,test
0.981481481,train,0.777777778,test
0.962962963,train,0.777777778,test
0.87037037,train,0.5,test
0.962962963,train,0.444444444,test
0.981481481,train,0.444444444,test
1,train,0.611111111,test
0.981481481,train,0.388888889,test
0.962962963,train,0.388888889,test
1,train,0.611111111,test
0.981481481,train,0.666666667,test
1,train,0.722222222,test
0.962962963,train,0.666666667,test
0.962962963,train,0.833333333,test
0.962962963,train,0.777777778,test
1,train,0.555555556,test
0.962962963,train,0.611111111,test
1,train,0.333333333,test
1,train,0.722222222,test
1,train,0.888888889,test
1,train,0.777777778,test
0.944444444,train,0.555555556,test
1,train,0.611111111,test
0.981481481,train,0.555555556,test
1,train,0.666666667,test
0.962962963,train,0.5,test
0.944444444,train,0.444444444,test
0.981481481,train,0.611111111,test
1,train,0.833333333,test
0.962962963,train,0.5,test
1,train,0.555555556,test
1,train,0.555555556,test
1,train,0.833333333,test
1,train,0.555555556,test
0.981481481,train,0.555555556,test
0.944444444,train,0.444444444,test
0.962962963,train,0.333333333,test
1,train,0.5,test
1,train,0.611111111,test
0.981481481,train,0.722222222,test
1,train,0.666666667,test
0.981481481,train,0.555555556,test
0.962962963,train,0.722222222,test
0.962962963,train,0.611111111,test
0.981481481,train,0.388888889,test
1,train,0.666666667,test
0.981481481,train,0.611111111,test
1,train,0.611111111,test
0.962962963,train,0.666666667,test
0.981481481,train,0.555555556,test
0.981481481,train,0.5,test
0.925925926,train,0.388888889,test
0.962962963,train,0.666666667,test
0.962962963,train,0.611111111,test
1,train,0.777777778,test
0.981481481,train,0.555555556,test
0.981481481,train,0.666666667,test
0.962962963,train,0.5,test
0.962962963,train,0.722222222,test
1,train,0.555555556,test
1,train,0.555555556,test
1,train,0.722222222,test
1,train,0.555555556,test
0.981481481,train,0.555555556,test
1,train,0.611111111,test
0.981481481,train,0.666666667,test
1,train,0.666666667,test
0.944444444,train,0.555555556,test
0.981481481,train,0.555555556,test
0.981481481,train,0.611111111,test
1,train,0.666666667,test
0.981481481,train,0.611111111,test
0.962962963,train,0.5,test
1,train,0.555555556,test
0.981481481,train,0.611111111,test
0.981481481,train,0.5,test
1,train,0.666666667,test
0.981481481,train,0.611111111,test
0.981481481,train,0.611111111,test
1,train,0.555555556,test
1,train,0.388888889,test
0.981481481,train,0.777777778,test
0.981481481,train,0.611111111,test
0.981481481,train,0.333333333,test
0.981481481,train,0.833333333,test
1,train,0.388888889,test
0.962962963,train,0.666666667,test
0.981481481,train,0.444444444,test
1,train,0.5,test
0.981481481,train,0.5,test
0.944444444,train,0.388888889,test
0.981481481,train,0.444444444,test
0.962962963,train,0.555555556,test
1,train,0.833333333,test
1,train,0.722222222,test
0.962962963,train,0.444444444,test
0.962962963,train,0.666666667,test
0.981481481,train,0.5,test
0.925925926,train,0.277777778,test
1,train,0.777777778,test
1,train,0.388888889,test
0.981481481,train,0.444444444,test
0.981481481,train,0.555555556,test
0.962962963,train,0.611111111,test
0.962962963,train,0.5,test
0.981481481,train,0.611111111,test
1,train,0.777777778,test
0.981481481,train,0.722222222,test
0.981481481,train,0.722222222,test
0.981481481,train,0.388888889,test
0.87037037,train,0.5,test
1,train,0.444444444,test
1,train,0.777777778,test
0.962962963,train,0.5,test
0.981481481,train,0.555555556,test
0.981481481,train,0.666666667,test
0.981481481,train,0.666666667,test
1,train,0.5,test
0.944444444,train,0.555555556,test
0.981481481,train,0.611111111,test
1,train,0.611111111,test
1,train,0.666666667,test
1,train,0.777777778,test
0.925925926,train,0.555555556,test
0.944444444,train,0.555555556,test
0.981481481,train,0.5,test
1,train,0.388888889,test
0.925925926,train,0.777777778,test
0.944444444,train,0.666666667,test
0.962962963,train,0.777777778,test
1,train,0.722222222,test
1,train,0.777777778,test
0.981481481,train,0.722222222,test
1,train,0.611111111,test
0.981481481,train,0.722222222,test
0.962962963,train,0.777777778,test
0.981481481,train,0.777777778,test
0.981481481,train,0.555555556,test
1,train,0.555555556,test
0.981481481,train,0.666666667,test
1,train,0.666666667,test
1,train,0.611111111,test
0.962962963,train,0.777777778,test
0.944444444,train,0.388888889,test
1,train,0.666666667,test
0.981481481,train,0.5,test
1,train,0.555555556,test
0.981481481,train,0.611111111,test
0.944444444,train,0.611111111,test
1,train,0.611111111,test
1,train,0.722222222,test
1,train,0.611111111,test
1,train,0.944444444,test
0.944444444,train,0.666666667,test
0.962962963,train,0.555555556,test
0.981481481,train,0.555555556,test
0.981481481,train,0.666666667,test
1,train,0.666666667,test
0.944444444,train,0.666666667,test
1,train,0.666666667,test
0.981481481,train,0.555555556,test
1,train,0.777777778,test
0.981481481,train,0.666666667,test
0.981481481,train,0.444444444,test
1,train,0.722222222,test
0.962962963,train,0.5,test
0.981481481,train,0.5,test
0.981481481,train,0.555555556,test
0.962962963,train,0.611111111,test
0.981481481,train,0.555555556,test
1,train,0.555555556,test
0.962962963,train,0.666666667,test
0.944444444,train,0.555555556,test
1,train,0.833333333,test
1,train,0.611111111,test
1,train,0.611111111,test
0.962962963,train,0.5,test
1,train,0.611111111,test
1,train,0.777777778,test
1,train,0.388888889,test
1,train,0.555555556,test
1,train,0.5,test
0.981481481,train,0.388888889,test
1,train,0.611111111,test
1,train,0.722222222,test
1,train,0.833333333,test
1,train,0.666666667,test
1,train,0.722222222,test
1,train,0.555555556,test
0.944444444,train,0.5,test
1,train,0.722222222,test
0.962962963,train,0.388888889,test
0.962962963,train,0.611111111,test
0.944444444,train,0.277777778,test
0.962962963,train,0.5,test
0.981481481,train,0.666666667,test
1,train,0.555555556,test
0.981481481,train,0.722222222,test
1,train,0.555555556,test
0.981481481,train,0.5,test
0.925925926,train,0.388888889,test
0.981481481,train,0.611111111,test
0.962962963,train,0.388888889,test
0.981481481,train,0.666666667,test
0.944444444,train,0.444444444,test
1,train,0.5,test
0.962962963,train,0.666666667,test
1,train,0.666666667,test
1,train,0.611111111,test
0.962962963,train,0.5,test
0.981481481,train,0.5,test
1,train,0.666666667,test
0.981481481,train,0.777777778,test
0.981481481,train,0.555555556,test
0.925925926,train,0.722222222,test
0.962962963,train,0.5,test
1,train,0.722222222,test
0.944444444,train,0.833333333,test
1,train,0.611111111,test
0.944444444,train,0.277777778,test
0.962962963,train,0.666666667,test
0.981481481,train,0.388888889,test
0.981481481,train,0.722222222,test
0.962962963,train,0.722222222,test
1,train,0.611111111,test
0.944444444,train,0.666666667,test
0.981481481,train,0.444444444,test
0.944444444,train,0.5,test
0.944444444,train,0.722222222,test
0.981481481,train,0.611111111,test
0.981481481,train,0.666666667,test
0.962962963,train,0.277777778,test
1,train,0.666666667,test
1,train,0.722222222,test
0.981481481,train,0.666666667,test
1,train,0.611111111,test
0.981481481,train,0.5,test
1,train,0.666666667,test
0.962962963,train,0.444444444,test
1,train,0.611111111,test
1,train,0.722222222,test
1,train,0.611111111,test
0.981481481,train,0.666666667,test
0.981481481,train,0.555555556,test
0.981481481,train,0.611111111,test
0.981481481,train,0.444444444,test
1,train,0.611111111,test
0.962962963,train,0.777777778,test
0.981481481,train,0.444444444,test
0.981481481,train,0.722222222,test
0.981481481,train,0.722222222,test
1,train,0.5,test
1,train,0.5,test
1,train,0.666666667,test
0.981481481,train,0.833333333,test
1,train,0.555555556,test
1,train,0.777777778,test
0.981481481,train,0.5,test
1,train,0.888888889,test
0.962962963,train,0.722222222,test
1,train,0.5,test
0.981481481,train,0.666666667,test
1,train,0.666666667,test
0.925925926,train,0.666666667,test
0.962962963,train,0.444444444,test
0.962962963,train,0.333333333,test
1,train,0.611111111,test
0.981481481,train,0.5,test
1,train,0.722222222,test
0.962962963,train,0.611111111,test
0.962962963,train,0.444444444,test
0.962962963,train,0.777777778,test
0.962962963,train,0.555555556,test
0.944444444,train,0.5,test
0.981481481,train,0.611111111,test
1,train,0.611111111,test
0.962962963,train,0.666666667,test
0.981481481,train,0.611111111,test
0.981481481,train,0.611111111,test
1,train,0.666666667,test
0.981481481,train,0.666666667,test
0.981481481,train,0.722222222,test
1,train,0.444444444,test
1,train,0.666666667,test
1,train,0.722222222,test
0.962962963,train,0.666666667,test
1,train,0.833333333,test
1,train,0.555555556,test
1,train,0.722222222,test
0.907407407,train,0.777777778,test
